Ticker,Name,Type,Industry,12-1M_Mom_%,FIP_Annual,LastMonth,LastMonth_Mom_%,LastMonth_FIP,LastMonth_Neg,LastMonth_Pos,LastMonth_Flat,LastMonth_Total
ETILR,ETILER GIDA,Stock,GIDA VE HAYVANCILIK,10.2799,0.007372,2026-09,-0.8881,-0.000000,1,1,0,2
AHGAZ,AHLATCI DOGALGAZ,Stock,ELEKTRİK,9.4899,0.013233,2026-09,1.8957,-0.018957,0,2,0,2
TGSAS,TGS DIS TICARET,Stock,PAZARLAMA,9.1596,0.012772,2026-09,-5.2972,-0.000000,1,1,0,2
HLGYO,HALK GMYO,Stock,GYO,9.1163,-0.002542,2026-09,-1.5982,-0.015982,2,0,0,2
TRCAS,TURCAS PETROL,Stock,PETROL,8.9697,0.000715,2026-09,-2.3749,-0.000000,1,1,0,2
AYEN,AYEN ENERJI,Stock,ELEKTRİK,8.5612,0.007845,2026-09,-1.4304,-0.000000,1,1,0,2
DMSAS,DEMISAS DOKUM,Stock,DEMİR ÇELİK,8.4280,-0.015446,2026-09,-2.5581,-0.000000,1,1,0,2
FLAP,"FLAP KONGRE TOPLANTI HIZ,",Stock,DİĞER,8.3823,0.009685,2026-09,-1.9802,-0.019802,2,0,0,2
OZGYO,OZDERICI GMYO,Stock,GYO,8.2895,0.003963,2026-09,1.9324,-0.019324,0,2,0,2
GLRMK,GULERMAK AGIR SANAYI,Stock,İNŞAAT - TAAHHÜT,8.2550,0.002302,2026-09,-5.1297,-0.051297,2,0,0,2
VAKKO,VAKKO TEKSTIL,Stock,PERAKENDE,8.0049,0.003508,2026-09,-1.4296,-0.014296,2,0,0,2
OZKGY,OZAK GMYO,Stock,GYO,7.9615,-0.000317,2026-09,-1.2546,-0.000000,1,1,0,2
HOROZ,HOROZ LOJISTIK,Stock,ULAŞTIRMA - LOJİSTİK,7.5763,0.003320,2026-09,-1.3699,-0.000000,1,1,0,2
AKSA,AKSA AKRILIK,Stock,TEKSTİL,7.3761,0.004702,2026-09,-0.5571,-0.000000,1,1,0,2
NETAS,"NETAS TELEKOM,",Stock,BİLGİSAYAR DONATIM,6.9593,0.004159,2026-09,2.0185,0.000000,1,1,0,2
ISBTR,IS BANKASI (B),Stock,BANKALAR,6.9182,0.011852,2026-09,-3.8462,-0.019231,1,0,0,1
TOASO,"TOFAS OTO, FAB,",VIOP,OTOMOTİV,6.8991,0.004398,2026-09,-3.9631,-0.039631,2,0,0,2
HURGZ,"HURRIYET GZT,",Stock,MEDYA,6.5899,0.008927,2026-09,8.0292,-0.080292,0,2,0,2
MPARK,MLP SAGLIK,Stock,SAĞLIK VE İLAÇ,6.2579,0.000499,2026-09,-2.0784,-0.020784,2,0,0,2
DITAS,DITAS DOGAN,Stock,OTOMOTİV PARÇASI,6.2493,-0.001494,2026-09,-4.1667,-0.000000,1,1,0,2
EKGYO,EMLAK KONUT GMYO,VIOP,GYO,5.8132,-0.001390,2026-09,0.3000,0.000000,1,1,0,2
HKTM,HIDROPAR HAREKET KONTROL,Stock,OTOMOTİV PARÇASI,4.8263,0.002884,2026-09,-4.7965,-0.047965,2,0,0,2
DGNMO,DOGANLAR MOBILYA,Stock,MOBİLYA,4.7433,0.007370,2026-09,3.8514,-0.019257,0,1,1,2
ENKAI,ENKA INSAAT,VIOP,İNŞAAT - TAAHHÜT,4.6990,0.002995,2026-09,-0.6865,-0.000000,1,1,0,2
SEGMN,SEGMEN KARDESLER GIDA,Stock,GIDA VE HAYVANCILIK,4.0657,0.001458,2026-09,1.1765,0.000000,1,1,0,2
BIGTK,Big Medya Teknoloji A.S.,Stock,MEDYA,3.8984,0.003262,2026-09,-6.2364,-0.062364,2,0,0,2
NTGAZ,NATURELGAZ,Stock,ELEKTRİK,3.7708,0.004056,2026-09,-2.4914,-0.000000,1,1,0,2
BRMEN,BIRLIK MENSUCAT,Stock,TEKSTİL,2.9764,0.001897,2026-09,-0.1538,-0.000000,1,1,0,2
AKENR,AKENERJI,Stock,ELEKTRİK,2.8116,0.002240,2026-09,-1.5209,-0.015209,2,0,0,2
GOZDE,GOZDE GIRISIM,Stock,GİRİŞİM SERMAYESİ,2.7363,0.000000,2026-09,-0.9901,-0.009901,2,0,0,2
ISFIN,"IS FIN,KIR,",Stock,FİNANSAL KİRALAMA VE FAKTORİNG,2.5032,0.003590,2026-09,-0.2575,-0.002575,2,0,0,2
KCAER,KOCAER CELIK,Stock,DEMİR ÇELİK,2.4974,0.000796,2026-09,-3.7736,-0.037736,2,0,0,2
EDIP,EDIP GAYRIMENKUL,Stock,İNŞAAT - TAAHHÜT,1.7704,0.001058,2026-09,-10.5812,-0.105812,2,0,0,2
